diff_id,language,gen_intent,nli_signed_gold→gen_intent,nli_signed_diff→gen_intent,gen_content,nli_signed_gold→gen_content,nli_signed_diff→gen_content,gen_baseline,nli_signed_gold→gen_baseline,nli_signed_diff→gen_baseline
84,cpp,Finalize type check for nominal type decls.,-0.11268984340131283,0.9875900757033378,The diff changes the code in the `finalizeType` function by adding two lines of code.,0.0021136992145329714,0.6885451970156282,Fix static void finalizeType in TypeCheckDecl.cpp.,-0.1950437817722559,0.0685494989156723
148,cpp,Update prevector tester to use ConsumeIntegralInRange instead of ConsumeIntegral.,-0.06278581358492374,0.10821937024593353,"The diff changes the behavior of the `test_one_input` function by modifying the `prevector` class's `insert`, `erase`, and `reserve` methods.",-0.0036822051042690873,0.5174710936844349,"""Fix prevector tester to use ConsumeIntegralInRange""",-0.6063806544989347,-0.26671983301639557
170,cpp,"Update API and behavior of imgui.cpp, add API breaking changes and tips.",0.0009534958298900165,0.2699586935341358,"The diff changes the behavior of the ImGui library, specifically the way it handles font scaling, clipboard text, and memory allocation. It also renames some functions and removes some parameters.",1.8423248548060656e-05,0.933412972241058,"Update imgui.cpp: API breaking changes, bug fixes, and improvements.",0.00798130119801499,0.6206477284431458
227,cpp,Fix tool change to respect extruder temperature limits.,0.0166428463999182,0.21937892958521843,Changes the active extruder to the specified value if the hotend is not too cold to extrude.,0.06872805138118565,0.9151636767201126,Fix tool change function to check for hotend temperature.,-0.05598799139261246,0.1671983152627945
624,cpp,Fix stereo rendering for RENDER_STEREO_VIEW_RIGHT.,-0.49278400279581547,0.2662592357955873,"The diff changes the way the video is rendered in a stereoscopic mode, specifically by flipping the video in the y-axis for a certain format.",-0.5558922812342644,0.40353667829185724,Fix stereo rendering in BaseRenderer.cpp.,-0.38174285599961877,0.08072412910405546
634,cpp,Update active frame number from Lua argument.,0.04789082519710064,0.8563279304653406,The diff changes the way the active frame is set in the `App_set_activeFrame` function.,0.015821961220353842,0.7471183300949633,Update active frame number in App_set_activeFrame(),0.017499812645837665,0.7873799831140786
679,cpp,Add expiration option to benchmark transfer subcommand.,0.9198342286981642,0.9839944783598185,"The diff changes the code to add a new option to the ""transfer"" subcommand, ""expiration"", which sets the expiration time for the transaction.",0.021569170843577012,0.7298776423558593,Add transfer subcommand to benchmark command.,0.2666807919740677,0.98330138460733
932,cpp,Update help message for init.cpp.,-0.004250421188771725,0.9038593415170908,"The diff changes the string ""strUsage"" in the code, adding or modifying lines that contain the string.",0.11731677129864693,0.9287245091982186,Update help message for init.cpp.,-0.004250406287610531,0.9038593415170908
997,cpp,Fix manifest and add ignore_apk_file function for APK export.,-0.010127202607691288,0.8744110716506839,"The diff changes the way the Android export process handles APK files, adding a new function `ignore_apk_file` and modifying the `export_project_files` function to use it",-0.002290017786435783,0.6959366528317332,Fix manifest and add ignore_apk_file function for APK export.,-0.010127083398401737,0.8744110716506839
1118,cpp,Refactor: Improve performance by using const SequenceId assignedSequenceId = GetAssignedSequenceId() only once.,-0.005946047604084015,0.02879421878606081,"The diff changes the way the `GetAssignedSequenceId()` function is called and used in the code, adding a check for the sequence ID before calling the function and using a constant variable instead",-0.07604042021557689,0.0011859741061925888,Refactor: Improve performance by using early returns and avoiding unnecessary code execution.,-0.015918582677841187,0.07514870446175337
1359,cpp,Add UpdateControls and m_pImplData->Update() to CATLAudioObject.,-0.009913817513734102,0.9537462356965989,"The diff adds a new method `UpdateControls` and calls it from `Update`, and also adds a new line to the `Update` method.",-0.000510909128934145,0.18480159807950258,Add UpdateControls and Update methods to CATLAudioObject.,-0.039723812602460384,0.9105323578696698
1361,cpp,Add check for missing dbg.declare for AllocaInst.,-0.7848907262086868,0.7853748686611652,"The diff adds an include statement for ""llvm/IR/IntrinsicInst.h"" and modifies a condition in the ""emitDbgIntrinsic"" function.",0.00016892224084585905,0.6509792325086892,Add missing include for IntrinsicInst.h in IRGenDebugInfo.cpp.,-0.0023859234643168747,-0.024933770298957825
1392,cpp,"""Refactor type loc checking to use TypeRepr instead of TypeLoc""",0.41914026252925396,-0.29528915137052536,"The diff changes the implementation of the `performTypeLocChecking` function in the `SILParser` class. The original function takes a `TypeLoc` object as its first argument,",0.004823658615350723,0.005977639928460121,"""Refactor and improve type resolution in SILParser""",0.37488012574613094,0.024060986703261733
